Date,Week_Index,Product_ID,Product_Name,Category,Region,Channel,Production_Line,Campaign,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Raw_Material_Cost,COGS,Marketing_Spend,Logistics_Cost,Other_Expenses,Revenue,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_u_per_h,Defect_Rate,Returns_Rate,Inventory,Backorder,Acquisition,Retention_Rate,NPS,Employee_Satisfaction,On_Promo,Promo_Discount,Month,Quarter,Year,Weekly_Target,Target_Achieved,Rolling_4w_Sales,Rolling_13w_Sales,WoW_pct_Sales_Units,WoW_pct_Revenue,WoW_pct_Lead_Time_days,WoW_pct_Efficiency_u_per_h,anomaly_score,is_anomaly,Weeks_of_Inventory
2022-03-14,10,P001,SKI_SKU_01,Skincare,South,Retail,LineC,None,904,886,691,11,54.68,39.13,655.4,35439.06,3232.75,2722.94,1128.07,37783.88,-4738.94,-0.1254,8,4.85,35.6,0.0188,0.0163,2078,0,52,0.673,16.6,7.36,False,0.0,2022-03-01,2022-01-01,2022,942,0.7335456475576078,812.0,833.8181818181819,-0.03356643356643352,0.024318422418829533,-0.11111111111111116,0.22252747252747263,0.22535922421322596,False,3.007235885662466
2022-03-21,11,P001,SKI_SKU_01,Skincare,South,E-commerce,LineB,None,1039,1036,1041,17,51.69,36.4,387.55,37858.35,3464.16,1690.24,870.92,53809.29,9925.62,0.1845,4,2.86,37.95,0.0025,0.0169,3143,1,48,0.6388,17.6,7.05,False,0.0,2022-03-01,2022-01-01,2022,942,1.1050955414001007,847.75,851.0833333333334,0.5065123010130246,0.42413351937387067,-0.5,0.0660112359550562,0.1862991963928139,False,3.019212292969056
2022-03-28,12,P001,SKI_SKU_01,Skincare,South,Wholesale,LineB,None,1008,971,881,0,52.22,35.03,460.66,35356.31,3372.52,2921.52,501.1,46005.82,3854.37,0.0838,2,4.34,38.92,0.0362,0.0,2933,0,54,0.7061,20.6,7.6,False,0.0,2022-03-01,2022-01-01,2022,942,0.9352441613578182,832.0,853.3846153846154,-0.15369836695485106,-0.14502086907297984,-0.5,0.025559947299077734,0.21491150620646826,False,3.329171392361894
2022-04-04,13,P001,SKI_SKU_01,Skincare,Central,Retail,LineB,None,749,744,624,3,57.81,34.7,432.92,26033.59,747.9,1853.43,323.54,36073.44,7114.98,0.1972,1,4.98,29.65,0.0064,0.0061,3537,0,26,0.7409,18.8,5.49,False,0.0,2022-04-01,2022-04-01,2022,942,0.6624203821649018,809.25,830.2307692307693,-0.2917139614074915,-0.2158939890648618,-0.5,-0.23818088386433722,0.20243890442675172,False,5.668269221685466
2022-04-11,14,P001,SKI_SKU_01,Skincare,East,E-commerce,LineA,HolidayPush,1090,1050,1018,0,56.42,39.18,510.12,42757.21,1968.87,2331.89,881.16,57435.56,9496.43,0.1653,5,5.78,44.56,0.0363,0.0,2891,0,37,0.7693,13.5,7.11,False,0.0,2022-04-01,2022-04-01,2022,942,1.0806794055190228,891.0,847.7692307692307,0.6314102564102564,0.592184166522516,4.0,0.5028667790893762,0.21273635101282395,False,2.8398821190177976
2022-04-18,15,P001,SKI_SKU_01,Skincare,North,E-commerce,LineA,None,740,734,804,5,46.3,35.43,287.12,26246.91,1274.08,1153.94,341.15,37225.2,8209.12,0.2205,8,6.43,31.08,0.0071,0.0072,3172,34,35,0.677,57.6,6.88,True,0.15,2022-04-01,2022-04-01,2022,942,0.8535031847124698,831.75,855.1538461538462,-0.21021611001964635,-0.35187887085979486,0.6000000000000001,-0.3025134649910234,0.2170462821911136,False,3.9452736269337394
2022-04-25,16,P001,SKI_SKU_01,Skincare,North,E-commerce,LineC,None,965,928,838,11,52.27,36.84,435.22,35594.12,931.25,3447.2,203.1,43802.26,3626.59,0.0828,6,3.93,36.68,0.0381,0.0138,4309,0,38,0.6875,-5.3,6.25,False,0.0,2022-04-01,2022-04-01,2022,942,0.8895966029714548,821.0,856.0769230769231,0.04228855721393043,0.1766829996883832,-0.25,0.18018018018018034,0.20024078442066734,False,5.1420047671336455
2022-05-02,17,P001,SKI_SKU_01,Skincare,South,Retail,LineC,None,982,982,774,8,54.96,39.6,455.65,38932.76,3148.74,1782.17,311.64,42539.04,-1636.27,-0.0385,12,5.26,39.32,0.0,0.0111,3353,0,25,0.7784,52.1,7.42,False,0.0,2022-05-01,2022-04-01,2022,942,0.8216560509545418,858.5,857.2307692307693,-0.07637231503579955,-0.028839151221877635,1.0,0.0719738276990185,0.20196544979542347,False,4.332041338072298
2022-05-09,18,P001,SKI_SKU_01,Skincare,North,E-commerce,LineA,NewLaunch,1054,1020,1006,10,55.9,38.58,614.48,40724.77,3628.14,4121.35,1169.34,56235.4,6591.8,0.1172,6,4.48,40.92,0.0318,0.0104,3290,0,86,0.7266,34.7,8.27,False,0.0,2022-05-01,2022-04-01,2022,942,1.0679405520158514,855.5,849.9230769230769,0.2997416020671835,0.32197153485363095,-0.5,0.04069175991861651,0.22391335416393726,False,3.270377730347537
2022-05-16,19,P001,SKI_SKU_01,Skincare,South,Retail,LineB,None,858,825,728,3,54.28,36.68,644.36,31535.88,3889.96,2232.02,384.91,39515.84,1473.07,0.0373,7,8.7,39.84,0.0384,0.0047,4446,0,21,0.7776,42.7,6.08,False,0.0,2022-05-01,2022-04-01,2022,942,0.7728237791923855,836.5,843.2307692307693,-0.27634194831013914,-0.2973137916685932,0.16666666666666674,-0.02639296187683282,0.18940283056676488,False,6.1071428487539245
2022-05-23,20,P001,SKI_SKU_01,Skincare,North,Retail,LineC,None,730,707,619,4,57.49,39.55,327.77,28904.28,1345.99,2356.22,1146.12,35586.31,1833.7,0.0515,9,13.04,42.43,0.0307,0.008,4318,0,40,0.6902,34.0,7.3,False,0.0,2022-05-01,2022-04-01,2022,942,0.6571125265385805,781.75,821.7692307692307,-0.14972527472527475,-0.0994418946933685,0.2857142857142858,0.06501004016064238,0.1010507187917149,False,6.975767355451103
2022-05-30,21,P001,SKI_SKU_01,Skincare,East,Retail,LineC,None,728,728,570,12,51.87,39.35,367.64,28683.56,1430.44,1416.22,463.08,29565.9,-2427.4,-0.0821,10,3.66,27.39,0.0,0.0218,1874,0,19,0.6299,9.2,5.92,False,0.0,2022-05-01,2022-04-01,2022,942,0.6050955414006315,730.75,793.0,-0.07915993537964461,-0.1691776978281816,0.11111111111111116,-0.3544661795899128,0.17359388022337496,False,3.2877192924776857
2022-06-06,22,P001,SKI_SKU_01,Skincare,South,E-commerce,LineA,None,876,862,753,21,56.01,38.25,423.98,33549.4,2798.15,1496.58,463.6,42175.53,3867.8,0.0917,3,4.99,34.69,0.0157,0.0292,3936,0,46,0.7217,25.1,7.53,False,0.0,2022-06-01,2022-04-01,2022,942,0.7993630573239922,667.5,795.9230769230769,0.3210526315789475,0.4264923442208759,-0.7,0.26652062796641096,0.2280142304580629,False,5.227091626524447
2022-06-13,23,P001,SKI_SKU_01,Skincare,South,E-commerce,LineA,HolidayPush,1016,1016,1321,37,36.4,35.46,817.88,36109.15,2046.18,3424.3,1196.1,48084.4,5308.67,0.1104,7,4.89,40.07,0.0,0.0287,2796,141,57,0.6483,38.5,6.23,True,0.31,2022-06-01,2022-04-01,2022,942,1.4023354564740953,815.75,844.3846153846154,0.7543160690571049,0.14010185527010566,1.3333333333333335,0.15508792159123685,0.1898578809813729,False,2.116578348132794
2022-06-20,24,P001,SKI_SKU_01,Skincare,East,Wholesale,LineC,None,699,659,537,6,57.06,35.68,329.23,24973.24,3946.17,764.15,578.15,30641.22,379.51,0.0124,8,5.07,27.77,0.0566,0.0116,3969,0,34,0.6411,30.7,6.98,False,0.0,2022-06-01,2022-04-01,2022,942,0.5700636942669107,795.25,805.6153846153846,-0.5934897804693414,-0.36276172729617084,0.1428571428571428,-0.3069628150736212,0.12610046708350808,False,7.391061438750351
2022-06-27,25,P001,SKI_SKU_01,Skincare,North,Retail,LineA,None,583,566,523,12,54.03,36.2,226.2,21127.22,1967.72,932.81,284.86,28257.69,3945.08,0.1396,6,9.31,27.85,0.0288,0.023,4079,0,18,0.6941,24.5,6.43,False,0.0,2022-06-01,2022-04-01,2022,942,0.555201698513211,783.5,778.0769230769231,-0.02607076350093107,-0.07778835176928345,-0.25,0.0028808066258552145,0.18419365353485312,False,7.799235166731864
2022-07-04,26,P001,SKI_SKU_01,Skincare,East,Retail,LineC,None,945,935,840,24,55.11,37.78,520.7,35754.17,1621.79,2590.51,225.5,46292.4,6100.43,0.1318,8,8.28,43.04,0.0098,0.0291,2264,0,40,0.74,41.1,6.33,False,0.0,2022-07-01,2022-07-01,2022,942,0.8917197452219833,805.25,794.6923076923077,0.6061185468451242,0.6382230819292025,0.33333333333333326,0.5454219030520646,0.22029819867845424,False,2.6952380920294785
2022-07-11,27,P001,SKI_SKU_01,Skincare,South,Retail,LineB,None,814,798,784,11,53.31,34.69,327.23,28270.38,2413.25,1358.48,781.39,41795.04,8971.54,0.2147,6,7.42,35.68,0.0187,0.0152,3442,0,67,0.7646,15.8,6.58,False,0.0,2022-07-01,2022-07-01,2022,942,0.8322717622071845,671.0,776.6923076923077,-0.06666666666666665,-0.0971511522409726,-0.25,-0.17100371747211895,0.23565271754525463,False,4.390306116849099
2022-07-18,28,P001,SKI_SKU_01,Skincare,West,Retail,LineB,None,927,901,787,12,57.47,34.84,447.74,32341.45,334.18,2723.23,792.31,45228.89,9037.72,0.1998,7,6.79,39.53,0.0271,0.0161,4132,0,67,0.5671,30.0,6.22,False,0.0,2022-07-01,2022-07-01,2022,942,0.8354564755829772,733.5,775.3846153846154,0.003826530612244916,0.08215927057373307,0.16666666666666674,0.10790358744394624,0.23542414197066597,False,5.2503176553363184
2022-07-25,29,P001,SKI_SKU_01,Skincare,North,E-commerce,LineA,HolidayPush,1068,1038,991,24,52.91,37.26,674.98,39861.18,3491.82,3916.84,1069.19,52433.81,4094.78,0.0781,5,6.82,45.61,0.0277,0.0248,1786,0,36,0.652,33.1,8.26,False,0.0,2022-07-01,2022-07-01,2022,942,1.0520169851368875,850.5,787.1538461538462,0.25921219822109265,0.15929906747656197,-0.2857142857142857,0.15380723501138371,0.2370103849785588,False,1.802219977999778
2022-08-01,30,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineA,None,1029,1006,909,9,51.89,36.82,373.53,37925.13,2855.49,1000.91,552.09,47168.01,4834.39,0.1025,12,6.68,43.67,0.022,0.01,2828,0,51,0.8138,36.4,6.2,False,0.0,2022-08-01,2022-07-01,2022,942,0.9649681528652176,867.75,797.5384615384615,-0.08274470232088804,-0.10042756763241112,1.4,-0.04253453190089884,0.24750503795139678,False,3.1111111076885467
2022-08-08,31,P001,SKI_SKU_01,Skincare,South,E-commerce,LineB,None,782,755,826,1,41.73,35.53,424.63,27826.92,1155.41,2278.61,412.25,34468.98,2795.79,0.0811,10,9.61,37.91,0.0342,0.0024,3489,25,32,0.693,-3.7,6.51,True,0.22,2022-08-01,2022-07-01,2022,942,0.8768577494682837,878.25,783.6923076923077,-0.09130913091309134,-0.2692297173444459,-0.16666666666666663,-0.1318983283718801,0.1927132722963062,False,4.223970939196161
2022-08-15,32,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineC,None,1094,1064,1164,25,51.43,38.46,562.32,42131.47,2058.56,3051.69,1158.25,59864.52,11464.55,0.1915,9,4.77,42.96,0.0272,0.0223,4377,49,49,0.6383,34.0,7.05,False,0.0,2022-08-01,2022-07-01,2022,942,1.2356687898076055,972.5,817.2307692307693,0.4092009685230025,0.7367650565813084,-0.09999999999999998,0.13321023476655247,0.22327204304070375,False,3.760309275120009
2022-08-22,33,P001,SKI_SKU_01,Skincare,East,E-commerce,LineA,HolidayPush,730,692,728,0,55.02,37.72,346.02,27570.2,3801.62,2524.99,528.94,40054.56,5628.81,0.1405,3,3.07,26.86,0.0517,0.0,2456,9,31,0.6784,30.1,7.52,False,0.0,2022-08-01,2022-07-01,2022,942,0.7728237791923855,906.75,825.6153846153846,-0.3745704467353952,-0.33091320201013885,-0.6666666666666667,-0.3747672253258846,0.12612046744259497,False,3.3736263689922716
2022-08-29,34,P001,SKI_SKU_01,Skincare,East,Retail,LineA,None,769,742,721,19,56.68,39.68,442.17,30558.14,700.09,3006.78,633.38,40866.28,5967.89,0.146,8,3.46,28.71,0.0341,0.027,1595,0,35,0.679,31.8,7.59,False,0.0,2022-08-01,2022-07-01,2022,942,0.7653927813155357,859.75,837.2307692307693,-0.009615384615384581,0.020265358051617666,1.6666666666666665,0.06887565152643349,0.1884627682726126,False,2.212205267389452
2022-09-05,35,P001,SKI_SKU_01,Skincare,East,Retail,LineC,None,1041,1017,964,4,52.69,38.66,739.11,40318.97,3582.95,2988.5,521.1,50793.16,3381.64,0.0666,3,6.92,44.64,0.0228,0.0045,2978,0,41,0.6771,11.7,6.45,False,0.0,2022-09-01,2022-07-01,2022,942,1.0233545647547524,894.25,853.4615384615385,0.3370319001386963,0.2429112706123484,-0.625,0.5548589341692789,0.24093562199564927,False,3.089211615052685
2022-09-12,36,P001,SKI_SKU_01,Skincare,West,E-commerce,LineB,None,1067,1046,1048,15,51.82,35.88,643.4,38348.3,1847.23,1923.43,1031.54,54307.36,11156.86,0.2054,8,9.34,51.05,0.0193,0.0152,3233,0,63,0.7664,28.7,5.82,False,0.0,2022-09-01,2022-07-01,2022,942,1.1125265392769506,865.25,832.4615384615385,0.08713692946058083,0.06918648101437275,1.6666666666666665,0.1435931899641576,0.2067666638172294,False,3.084923661178508
2022-09-19,37,P001,SKI_SKU_01,Skincare,West,Retail,LineC,None,1148,1096,1060,6,54.96,34.55,675.02,39730.9,3489.21,3187.49,422.39,58257.6,11427.61,0.1962,4,3.94,43.66,0.0445,0.0066,2814,0,39,0.643,35.0,6.66,False,0.0,2022-09-01,2022-07-01,2022,942,1.1252653927801217,948.25,872.6923076923077,0.011450381679389388,0.07273857539751516,-0.5,-0.1447600391772772,0.17448569969582745,False,2.6547169786276252
2022-09-26,38,P001,SKI_SKU_01,Skincare,North,Retail,LineB,None,1065,1046,968,17,54.22,36.5,581.49,38930.65,1257.27,2268.02,304.24,52484.96,9724.78,0.1853,5,1.16,36.62,0.0173,0.0181,1260,0,64,0.6451,33.4,7.98,False,0.0,2022-09-01,2022-07-01,2022,942,1.0276008492558093,1010.0,906.9230769230769,-0.08679245283018866,-0.09908818763560456,0.25,-0.1612459917544663,0.18087499655797318,False,1.3016528912173007
2022-10-03,39,P001,SKI_SKU_01,Skincare,West,Retail,LineB,None,980,961,1139,26,35.95,38.19,453.74,37471.57,2826.11,3222.12,235.88,40947.05,-2808.63,-0.0686,9,2.72,35.61,0.019,0.0229,2756,102,82,0.5683,32.9,5.95,True,0.34,2022-10-01,2022-10-01,2022,942,1.2091295116759988,1053.75,929.9230769230769,0.17665289256198347,-0.21983269111760773,0.8,-0.027580557072637846,0.20631041434543657,False,2.4196663718879132
2022-10-10,40,P001,SKI_SKU_01,Skincare,South,E-commerce,LineA,SummerSale,807,771,1027,26,40.62,36.61,447.89,29589.06,4730.09,1678.96,284.31,41716.74,5434.32,0.1303,5,0.44,27.08,0.0438,0.0259,3254,123,38,0.7181,42.9,5.64,True,0.26,2022-10-01,2022-10-01,2022,942,1.090233545646401,1048.5,948.6153846153846,-0.09833187006145738,0.018797202728890072,-0.4444444444444444,-0.23953945520921094,0.10690084693643465,False,3.1684517982780407
2022-10-17,41,P001,SKI_SKU_01,Skincare,Central,Retail,LineB,None,1041,1041,1126,20,47.18,35.17,416.4,36653.61,5295.34,2244.13,1175.54,53124.68,7756.06,0.146,6,6.4,43.67,0.0,0.0182,2467,35,85,0.6388,36.5,7.54,True,0.15,2022-10-01,2022-10-01,2022,942,1.1953290870475635,1065.0,974.6923076923077,0.09639727361246342,0.27346192439773587,0.19999999999999996,0.6126292466765142,0.20895837618900626,False,2.1909413834893945
2022-10-24,42,P001,SKI_SKU_01,Skincare,West,E-commerce,LineA,SummerSale,1025,1006,1118,4,55.21,37.64,577.07,38638.71,2711.65,4548.8,1027.39,61724.78,14798.23,0.2397,3,6.82,43.76,0.0184,0.0036,3673,46,89,0.6444,26.9,7.69,False,0.0,2022-10-01,2022-10-01,2022,942,1.1868365180454492,1102.5,984.4615384615385,-0.007104795737122527,0.16188521041444393,-0.5,0.0020609113808105484,0.23105392148216836,False,3.285330945183067
2022-10-31,43,P001,SKI_SKU_01,Skincare,East,E-commerce,LineC,None,1106,1076,1075,21,56.86,37.37,601.66,41391.39,1408.11,3759.32,742.25,61124.5,13823.43,0.2262,6,6.11,45.84,0.0271,0.0198,3353,0,65,0.7443,37.2,7.09,False,0.0,2022-10-01,2022-10-01,2022,942,1.1411889596590858,1086.5,997.2307692307693,-0.038461538461538436,-0.009725105541080858,1.0,0.04753199268738584,0.22835944042989598,False,3.1190697645404
2022-11-07,44,P001,SKI_SKU_01,Skincare,North,Wholesale,LineC,None,1082,1075,1170,0,43.87,34.83,342.99,37720.36,3148.75,1633.77,955.12,51327.9,7869.9,0.1533,12,0.8,36.75,0.0063,0.0,3814,48,38,0.6277,21.0,5.17,True,0.18,2022-11-01,2022-10-01,2022,942,1.242038216559191,1122.25,1023.6923076923077,0.08837209302325588,-0.16027288566777642,1.0,-0.1982984293193718,0.15199798077478627,False,3.259829057042881
2022-11-14,45,P001,SKI_SKU_01,Skincare,North,Retail,LineB,None,1147,1130,1047,10,55.25,37.93,838.46,43589.56,2683.2,4024.61,816.88,57846.75,6732.5,0.1164,4,2.4,41.21,0.0146,0.0104,3147,0,77,0.7168,15.1,8.38,False,0.0,2022-11-01,2022-10-01,2022,942,1.1114649681516864,1102.5,1014.6923076923077,-0.10512820512820509,0.12700402704961622,-0.6666666666666667,0.12136054421768705,0.201884071298776,False,3.005730656154985
2022-11-21,46,P001,SKI_SKU_01,Skincare,Central,Wholesale,LineB,None,823,793,633,6,51.9,36.14,563.75,29799.6,1164.34,1161.03,830.77,32852.7,-103.04,-0.0031,8,5.95,33.88,0.036,0.0102,2715,0,26,0.7697,17.8,5.94,False,0.0,2022-11-01,2022-10-01,2022,942,0.6719745222922803,981.25,1007.3846153846154,-0.3954154727793696,-0.43207353913573365,1.0,-0.17786944916282454,0.209587406582615,False,4.289099519290522
2022-11-28,47,P001,SKI_SKU_01,Skincare,West,Wholesale,LineC,None,989,974,1095,17,41.48,36.02,378.79,35661.66,1525.58,2195.57,1132.62,45420.6,4905.17,0.108,13,6.69,42.0,0.0151,0.0159,3064,61,35,0.6305,32.9,8.0,True,0.28,2022-11-01,2022-10-01,2022,942,1.162420382164371,986.25,1036.1538461538462,0.7298578199052133,0.3825530321708719,0.625,0.23966942148760317,0.2373837617980581,False,2.7981735134263253
2022-12-05,48,P001,SKI_SKU_01,Skincare,North,Retail,LineB,SummerSale,902,882,814,20,57.95,38.13,350.88,34428.35,3251.97,1865.29,781.65,47171.3,6844.04,0.1451,14,9.37,43.22,0.0212,0.0247,4632,0,43,0.8133,15.1,7.64,False,0.0,2022-12-01,2022-10-01,2022,942,0.8641188959651124,897.25,1024.6153846153845,-0.25662100456621006,0.03854418479720656,0.07692307692307687,0.02904761904761899,0.2122297815340503,False,5.690417683427006
2022-12-12,49,P001,SKI_SKU_01,Skincare,South,Wholesale,LineC,None,982,955,926,5,53.35,37.18,396.73,36550.43,3522.43,997.15,459.77,49402.1,7872.32,0.1594,9,6.64,41.61,0.0268,0.0062,2585,0,64,0.7133,35.2,7.76,False,0.0,2022-12-01,2022-10-01,2022,942,0.9830148619947102,867.0,1015.2307692307693,0.13759213759213762,0.0472914674812861,-0.3571428571428571,-0.0372512725590004,0.2432354285747475,False,2.791576670851429
2022-12-19,50,P001,SKI_SKU_01,Skincare,South,Retail,LineC,None,1107,1073,1163,27,38.28,39.13,598.89,43376.8,5492.51,2068.99,1128.11,44519.64,-7546.77,-0.1695,6,6.46,46.56,0.0305,0.0234,3327,51,40,0.7866,45.6,8.11,True,0.27,2022-12-01,2022-10-01,2022,942,1.2346072186823411,999.5,1023.1538461538462,0.25593952483801297,-0.09883102135334332,-0.33333333333333337,0.1189617880317233,0.21547933702261052,False,2.8607050706270805
2022-12-26,51,P001,SKI_SKU_01,Skincare,South,Retail,LineB,None,934,918,791,15,57.82,35.91,625.78,33602.52,2104.08,3190.19,916.54,45735.62,5922.29,0.1295,6,5.2,37.3,0.0164,0.0197,1702,0,40,0.8452,33.9,6.7,False,0.0,2022-12-01,2022-10-01,2022,942,0.8397027600840343,923.5,1009.5384615384615,-0.31986242476354254,0.02731333856248619,0.0,-0.19888316151202756,0.23309413450971456,False,2.151706697659031
2023-01-02,52,P001,SKI_SKU_01,Skincare,West,E-commerce,LineB,None,876,858,830,15,51.28,37.8,501.95,33162.99,2705.71,1730.38,364.78,42562.4,4598.54,0.108,6,6.9,37.53,0.0204,0.0191,3180,0,28,0.7575,27.7,6.93,False,0.0,2023-01-01,2023-01-01,2023,942,0.8811040339693407,927.5,985.7692307692307,0.04930467762326174,-0.06938180787753623,0.0,0.0061662198391421175,0.24458417239867092,False,3.8313252965887648
2023-01-09,53,P001,SKI_SKU_01,Skincare,North,Wholesale,LineA,None,1050,1026,1016,15,56.38,39.04,596.4,41051.64,1971.52,2692.83,1073.4,57282.08,10492.69,0.1832,10,5.97,43.26,0.0221,0.0153,2979,0,32,0.6362,37.9,7.07,False,0.0,2023-01-01,2023-01-01,2023,942,1.0785562632684942,950.0,984.9230769230769,0.2240963855421687,0.34583764073454515,0.6666666666666667,0.1526778577138288,0.23513978874181607,False,2.9320866112873163
2023-01-16,54,P001,SKI_SKU_01,Skincare,North,Wholesale,LineC,None,881,864,812,3,56.7,38.8,533.0,34236.1,2745.16,3418.3,1045.68,46040.4,4595.16,0.0998,10,5.12,35.08,0.0191,0.0037,3082,0,71,0.7012,19.0,8.17,False,0.0,2023-01-01,2023-01-01,2023,942,0.8619957537145839,862.25,960.7692307692307,-0.20078740157480313,-0.19625125344610395,0.0,-0.18908922792417937,0.23641377809426362,False,3.795566497788711
2023-01-23,55,P001,SKI_SKU_01,Skincare,North,E-commerce,LineA,HolidayPush,867,832,850,14,53.13,37.09,406.62,32197.69,1024.18,1746.85,816.47,45160.5,9375.31,0.2076,14,3.77,32.75,0.0397,0.0166,1444,5,36,0.6235,27.5,7.65,False,0.0,2023-01-01,2023-01-01,2023,942,0.902335456474626,877.0,940.1538461538462,0.046798029556650356,-0.01911147600802776,0.3999999999999999,-0.06641961231470916,0.1844616188183244,False,1.698823527413149
