Date,Product_ID,Product_Name,Category,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Material_kg,Revenue,COGS,Expenses,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_units_per_hour,Defect_Rate,Returns_Rate,Customer_Acquisition,Retention_Rate,NPS,Employee_Satisfaction,Week_Index,Weekly_Target,Target_Achieved,Rolling_4w_Sales,YoY_Sales_pct,MoM_Sales_pct,Rolling_4w_Eff,Month,Year
2023-03-13,P001,SKI_SKU_01,Skincare,2180,2146,2111,53,45.95,27.75,318.28,96992.21,60552.98,9119.12,27320.11,0.2817,5,3.43,72.27,0.0152,0.0256,109,0.6805,27.5,5.9,10,1894,1.1145723336853222,1777.0,,0.29987684729064035,68.3075,2023-03-01,2023
2023-03-20,P001,SKI_SKU_01,Skincare,2150,2087,1799,41,41.64,25.51,313.9,74916.22,54899.98,7123.44,12892.79,0.1721,10,3.27,70.88,0.0293,0.0229,110,0.6571,15.7,7.79,11,1894,0.9498416050686378,1844.0,,0.1750489875898107,70.9825,2023-03-01,2023
2023-03-27,P001,SKI_SKU_01,Skincare,2012,1996,1884,55,45.34,25.28,293.752,85427.7,50914.88,6970.3,27542.51,0.3224,8,7.32,76.55,0.0077,0.0294,67,0.7527,27.1,8.29,12,1894,0.9947201689545935,1807.75,,-0.07146377525874814,69.515,2023-03-01,2023
2023-04-03,P001,SKI_SKU_01,Skincare,2590,2590,2472,22,47.79,28.21,378.14,118133.95,73150.57,13972.06,31011.33,0.2625,6,5.19,91.16,0.0,0.0093,104,0.7289,35.7,7.13,13,1894,1.3051742344244983,2066.5,,0.7202505219206681,77.71499999999999,2023-04-01,2023
2023-04-10,P001,SKI_SKU_01,Skincare,1582,1530,1338,27,46.18,26.9,230.972,61792.74,42607.24,4009.97,15175.53,0.2456,9,4.11,53.64,0.0328,0.0209,76,0.7634,30.6,7.99,14,1894,0.706441393875396,1873.25,,-0.36617716721932736,73.0575,2023-04-01,2023
2023-04-17,P001,SKI_SKU_01,Skincare,1736,1677,1622,40,46.85,27.18,253.456,75998.48,47228.56,8034.31,20735.61,0.2728,5,7.76,67.19,0.0336,0.0252,109,0.9312,26.2,7.88,15,1894,0.856388595564942,1829.0,,-0.09838799332962755,72.13499999999999,2023-04-01,2023
2023-04-24,P001,SKI_SKU_01,Skincare,1881,1841,1689,39,45.49,25.06,274.626,76835.61,47194.03,4542.66,25098.92,0.3267,1,4.03,63.61,0.0212,0.0236,117,0.6464,26.0,8.6,16,1894,0.8917634635691658,1780.25,,-0.10350318471337583,68.89999999999999,2023-04-01,2023
2023-05-01,P001,SKI_SKU_01,Skincare,2080,1963,1849,0,46.83,25.88,303.68,86596.76,53894.09,7490.78,25211.89,0.2911,12,2.46,66.79,0.0558,0.0,45,0.7112,36.1,7.98,17,1894,0.9762407602956705,1624.5,,-0.25202265372168287,62.807500000000005,2023-05-01,2023
2023-05-08,P001,SKI_SKU_01,Skincare,1853,1834,1704,55,43.45,28.22,270.538,74037.38,52341.06,8026.11,13670.21,0.1846,9,4.05,62.71,0.0102,0.0327,90,0.6204,52.1,6.54,18,1894,0.8996832101372756,1716.0,,0.2735426008968609,65.075,2023-05-01,2023
2023-05-15,P001,SKI_SKU_01,Skincare,1874,1837,1687,29,44.23,27.06,273.604,74612.93,50764.58,7547.68,16300.67,0.2185,4,8.74,75.39,0.0197,0.0175,38,0.6251,47.3,5.91,19,1894,0.8907074973600845,1732.25,,0.04007398273736129,67.125,2023-05-01,2023
2023-05-22,P001,SKI_SKU_01,Skincare,1979,1925,1655,34,45.46,28.17,288.934,75233.89,55801.23,7292.36,12140.31,0.1614,6,3.04,64.75,0.0269,0.0206,71,0.6631,55.3,7.82,20,1894,0.8738120380147836,1723.75,,-0.02013025458851392,67.41,2023-05-01,2023
2023-05-29,P001,SKI_SKU_01,Skincare,2060,2033,1822,25,42.39,27.34,300.76,77227.92,56372.16,7761.43,13094.32,0.1696,7,4.78,71.49,0.0127,0.0141,132,0.751,39.8,7.77,21,1894,0.9619852164730729,1717.0,,-0.01460248783126017,68.585,2023-05-01,2023
2023-06-05,P001,SKI_SKU_01,Skincare,1723,1672,1661,12,46.71,26.12,251.558,77587.03,45055.72,9434.38,23096.92,0.2977,1,6.49,63.57,0.0292,0.0078,118,0.7932,24.7,6.83,22,1894,0.8769799366420274,1706.25,,-0.025234741784037507,68.8,2023-06-01,2023
2023-06-12,P001,SKI_SKU_01,Skincare,1873,1850,1812,42,47.86,26.91,273.458,86714.15,50466.2,8670.95,27576.99,0.318,9,6.86,70.05,0.0122,0.0232,84,0.6922,17.9,6.11,23,1894,0.9567053854276664,1737.5,,0.07409602845287488,67.465,2023-06-01,2023
2023-06-19,P001,SKI_SKU_01,Skincare,2072,2011,1735,34,45.22,26.46,302.512,78457.4,54894.68,9298.16,14264.57,0.1818,4,6.25,75.75,0.0294,0.0199,71,0.7368,46.3,6.81,24,1894,0.9160506863780359,1757.5,,0.048338368580060465,70.215,2023-06-01,2023
2023-06-26,P001,SKI_SKU_01,Skincare,1998,1923,1898,24,46.72,26.86,291.708,88666.69,53731.63,7566.34,27368.73,0.3087,5,6.75,74.4,0.0373,0.0128,141,0.6872,29.8,6.3,25,1894,1.0021119324181627,1776.5,,0.04171240395170139,70.9425,2023-06-01,2023
2023-07-03,P001,SKI_SKU_01,Skincare,1804,1790,1715,35,44.07,25.93,263.384,75585.02,46834.43,8874.97,19875.63,0.263,8,5.65,64.53,0.0076,0.0209,57,0.7042,41.8,7.63,26,1894,0.9054910242872228,1790.0,,0.032510535821794084,71.1825,2023-07-01,2023
2023-07-10,P001,SKI_SKU_01,Skincare,2384,2351,2212,63,41.91,25.92,348.064,92701.78,61853.4,11302.43,19545.96,0.2108,12,5.81,85.79,0.0135,0.0287,162,0.711,56.3,6.47,27,1894,1.1678986272439282,1890.0,,0.2207505518763797,75.1175,2023-07-01,2023
2023-07-17,P001,SKI_SKU_01,Skincare,1718,1697,1586,37,46.96,27.29,250.828,74473.22,46942.85,5071.4,22458.97,0.3016,1,0.75,52.3,0.0121,0.0236,118,0.7445,47.7,7.83,28,1894,0.8373812038014784,1852.75,,-0.085878962536023,69.255,2023-07-01,2023
2023-07-24,P001,SKI_SKU_01,Skincare,1854,1808,1636,30,44.34,25.89,270.684,72532.66,48054.59,4412.87,20065.2,0.2766,3,4.44,63.57,0.0244,0.0189,117,0.7743,30.1,7.24,29,1894,0.8637803590285111,1787.25,,-0.13804004214963117,66.5475,2023-07-01,2023
2023-07-31,P001,SKI_SKU_01,Skincare,2002,1966,1943,49,46.02,27.07,292.292,89422.83,54247.53,7213.1,27962.2,0.3127,2,2.86,65.14,0.0179,0.0254,52,0.7145,54.6,7.3,30,1894,1.025871172122492,1844.25,,0.13294460641399408,66.7,2023-07-01,2023
2023-08-07,P001,SKI_SKU_01,Skincare,1960,1890,1717,45,46.24,25.68,286.16,79386.88,50397.47,5227.17,23762.24,0.2993,7,7.31,74.54,0.0354,0.0265,35,0.7821,42.7,5.62,31,1894,0.9065469904963042,1720.5,,-0.2237793851717902,63.8875,2023-08-01,2023
2023-08-14,P001,SKI_SKU_01,Skincare,1392,1349,1247,41,45.7,27.9,203.232,56984.3,38879.62,7136.76,10967.92,0.1925,5,4.46,47.77,0.0308,0.0333,35,0.6991,39.6,6.95,32,1894,0.6583949313621964,1635.75,,-0.21374527112232033,62.755,2023-08-01,2023
2023-08-21,P001,SKI_SKU_01,Skincare,1828,1760,1557,36,42.8,26.14,266.888,66647.31,47831.79,8016.16,10799.36,0.162,2,5.81,65.77,0.0368,0.0237,75,0.6436,18.2,7.65,33,1894,0.8220696937697993,1616.0,,-0.048288508557457255,63.30500000000001,2023-08-01,2023
2023-08-28,P001,SKI_SKU_01,Skincare,1687,1679,1477,0,46.15,25.09,246.302,68157.49,42377.36,7721.88,18058.24,0.2649,7,4.79,58.55,0.0045,0.0,85,0.7511,22.6,6.54,34,1894,0.779831045406547,1499.5,,-0.23983530622748328,61.6575,2023-08-01,2023
2023-09-04,P001,SKI_SKU_01,Skincare,1776,1677,1515,55,41.85,25.82,259.296,63404.28,45905.69,6836.27,10662.32,0.1682,6,2.54,57.19,0.0556,0.0364,111,0.6851,66.9,8.21,35,1894,0.7998944033790919,1449.0,,-0.11764705882352944,57.31999999999999,2023-09-01,2023
2023-09-11,P001,SKI_SKU_01,Skincare,1664,1625,1444,28,43.73,25.68,242.944,63140.43,42777.81,5104.5,15258.12,0.2417,6,1.79,52.31,0.0231,0.0195,39,0.7131,40.9,8.15,36,1894,0.7624076029567054,1498.25,,0.1579791499599037,58.455,2023-09-01,2023
2023-09-18,P001,SKI_SKU_01,Skincare,1708,1613,1545,14,43.47,26.2,249.368,67167.96,44793.43,6895.34,15479.18,0.2305,10,4.99,59.71,0.0556,0.0096,83,0.6886,13.2,7.71,37,1894,0.8157338965153115,1495.25,,-0.0077071290944122905,56.94,2023-09-01,2023
2023-09-25,P001,SKI_SKU_01,Skincare,1756,1743,1525,40,48.06,25.34,256.376,73297.95,44546.78,6206.24,22544.93,0.3076,1,3.82,58.96,0.007,0.0268,119,0.7142,33.3,6.55,38,1894,0.8051742344244984,1507.25,,0.032498307379823954,57.0425,2023-09-01,2023
2023-10-02,P001,SKI_SKU_01,Skincare,1988,1887,1680,22,43.74,26.41,290.248,73477.44,52559.95,6784.73,14132.76,0.1923,11,5.42,70.53,0.0506,0.0134,58,0.7342,33.1,6.39,39,1894,0.8870116156282999,1548.5,,0.10891089108910901,60.377500000000005,2023-10-01,2023
2023-10-09,P001,SKI_SKU_01,Skincare,1532,1529,1417,22,42.49,25.17,223.672,60212.73,38609.67,7683.21,13919.85,0.2312,6,4.87,53.32,0.0018,0.0159,55,0.6639,39.1,8.2,40,1894,0.7481520591341078,1541.75,,-0.018698060941828243,60.629999999999995,2023-10-01,2023
2023-10-16,P001,SKI_SKU_01,Skincare,1754,1754,1727,40,47.77,25.58,256.084,82507.25,44910.52,5009.41,32587.32,0.395,3,9.87,73.91,0.0,0.0237,111,0.6638,44.0,7.43,41,1894,0.9118268215417107,1587.25,,0.117799352750809,64.18,2023-10-01,2023
2023-10-23,P001,SKI_SKU_01,Skincare,1812,1787,1561,47,45.05,26.18,264.552,70317.65,47494.59,8333.67,14489.39,0.2061,8,4.02,61.27,0.0135,0.0303,67,0.685,45.6,6.59,42,1894,0.824181626187962,1596.25,,0.023606557377049198,64.7575,2023-10-01,2023
2023-10-30,P001,SKI_SKU_01,Skincare,2035,2035,1995,56,47.57,27.09,297.11,94893.22,55184.18,6021.16,33687.87,0.355,7,3.31,67.19,0.0,0.0283,152,0.5673,12.3,8.23,43,1894,1.053326293558606,1675.0,,0.1875,63.9225,2023-10-01,2023
2023-11-06,P001,SKI_SKU_01,Skincare,2087,1974,1933,46,43.66,25.81,304.702,84390.94,53916.22,9114.31,21360.42,0.2531,6,6.27,76.35,0.0541,0.024,42,0.7906,34.8,6.89,44,1894,1.0205913410770855,1804.0,,0.3641496118560339,69.68,2023-11-01,2023
2023-11-13,P001,SKI_SKU_01,Skincare,2565,2530,2415,69,46.17,26.81,374.49,111498.72,68842.44,8040.2,34616.07,0.3105,5,4.11,86.98,0.0136,0.0287,98,0.7813,8.7,8.55,45,1894,1.275079197465681,1976.0,,0.39837869137232196,72.9475,2023-11-01,2023
2023-11-20,P001,SKI_SKU_01,Skincare,2201,2194,2025,41,47.34,28.14,321.346,95863.2,61999.92,9085.44,24777.84,0.2585,6,5.56,78.49,0.0031,0.0205,125,0.713,35.3,7.43,46,1894,1.0691657866948259,2092.0,,0.2972453555413197,77.2525,2023-11-01,2023
2023-11-27,P001,SKI_SKU_01,Skincare,1786,1745,1717,17,48.08,27.82,260.756,82554.06,49741.21,5348.1,27464.75,0.3327,7,8.77,71.94,0.0228,0.0101,129,0.6925,30.7,8.18,47,1894,0.9065469904963042,2022.5,,-0.13934837092731833,78.44,2023-11-01,2023
2023-12-04,P001,SKI_SKU_01,Skincare,2487,2453,2370,0,47.65,26.14,363.102,112938.68,65081.07,8889.84,38967.76,0.345,10,4.68,86.01,0.0136,0.0,152,0.6098,26.9,6.19,48,1894,1.2513199577613516,2131.75,,0.22607346094154157,80.855,2023-12-01,2023
2023-12-11,P001,SKI_SKU_01,Skincare,2179,2109,1903,73,41.7,27.22,318.134,79347.55,59381.56,5456.25,14509.74,0.1829,7,2.36,69.75,0.0321,0.0385,147,0.7676,26.8,6.2,49,1894,1.004751847940866,2003.75,,-0.21200828157349894,76.5475,2023-12-01,2023
2023-12-18,P001,SKI_SKU_01,Skincare,2343,2296,2021,43,42.86,25.08,342.078,86625.76,58833.95,7693.81,20098.0,0.232,7,5.03,82.0,0.0196,0.0216,108,0.7833,-1.9,5.33,50,1894,1.0670538542766632,2002.75,,-0.0019753086419752597,77.425,2023-12-01,2023
2023-12-25,P001,SKI_SKU_01,Skincare,1825,1780,1757,10,45.84,26.35,266.45,80542.77,48146.36,4670.27,27726.14,0.3442,6,5.41,64.73,0.0243,0.0059,51,0.6533,41.2,8.34,51,1894,0.9276663146779303,2012.75,,0.023296447291788036,75.6225,2023-12-01,2023
2024-01-01,P001,SKI_SKU_01,Skincare,1679,1633,1542,27,43.21,27.42,245.134,66626.18,46092.43,7822.13,12711.61,0.1908,5,3.95,56.63,0.0273,0.0177,107,0.7988,17.9,6.61,52,1894,0.8141499472016895,1805.75,-0.0221940393151554,-0.3493670886075949,68.2775,2024-01-01,2024
2024-01-08,P001,SKI_SKU_01,Skincare,1490,1487,1345,5,45.71,26.35,217.54,61480.84,39311.98,5949.86,16218.99,0.2638,4,8.53,59.43,0.0014,0.0044,62,0.7364,32.5,7.11,53,1894,0.7101372756071805,1666.25,-0.15355569540591563,-0.2932212296374146,65.6975,2024-01-01,2024
2024-01-15,P001,SKI_SKU_01,Skincare,1974,1901,1862,62,41.76,25.87,288.204,77752.69,51133.04,7335.58,19284.08,0.248,5,4.92,68.84,0.0365,0.0335,108,0.6626,25.0,6.04,54,1894,0.9831045406546991,1626.5,0.3721444362564481,-0.07867392380009897,62.407500000000006,2024-01-01,2024
2024-01-22,P001,SKI_SKU_01,Skincare,1542,1464,1420,32,45.56,27.23,225.132,64688.66,42030.09,4528.55,18130.02,0.2803,9,6.1,56.08,0.0501,0.0226,106,0.759,7.9,6.05,55,1894,0.7497360084477297,1542.25,-0.041188386225523343,-0.19180421172453044,60.245000000000005,2024-01-01,2024
2024-01-29,P001,SKI_SKU_01,Skincare,1887,1869,1611,41,44.17,25.94,275.502,71154.12,49008.44,5829.24,16316.44,0.2293,2,6.04,68.46,0.0091,0.0258,101,0.7344,9.0,9.07,56,1894,0.8505807814149947,1559.5,-0.10797342192691028,0.04474708171206232,63.2025,2024-01-01,2024
2024-02-05,P001,SKI_SKU_01,Skincare,1921,1865,1599,72,43.81,27.59,280.466,70045.77,53055.03,4524.96,12465.78,0.178,2,5.36,68.02,0.0291,0.0456,39,0.6942,29.6,8.79,57,1894,0.8442449841605069,1623.0,-0.27482993197278915,0.1888475836431227,65.35,2024-02-01,2024
2024-02-12,P001,SKI_SKU_01,Skincare,2293,2266,2188,64,45.49,26.19,334.778,99527.34,60118.93,6114.41,33294.0,0.3345,3,6.42,84.35,0.0116,0.0293,164,0.6208,27.3,8.16,58,1894,1.1552270327349525,1704.5,0.34729064039408875,0.17508055853920523,69.22749999999999,2024-02-01,2024
2024-02-19,P001,SKI_SKU_01,Skincare,2113,2029,1974,38,43.06,28.33,308.498,85007.05,59921.9,10367.97,14717.17,0.1731,10,6.24,77.22,0.0393,0.0193,44,0.6003,35.2,7.39,59,1894,1.0422386483632524,1843.0,0.2893533638145003,0.39014084507042246,74.5125,2024-02-01,2024
2024-02-26,P001,SKI_SKU_01,Skincare,1638,1579,1553,29,47.16,26.05,239.148,73237.44,42711.6,8411.41,22114.43,0.302,10,2.84,53.25,0.0358,0.0192,34,0.6157,36.0,6.26,60,1894,0.8199577613516368,1828.5,-0.23459832429768357,-0.036002482929857194,70.71,2024-02-01,2024
2024-03-04,P001,SKI_SKU_01,Skincare,1930,1879,1812,54,47.43,27.06,281.78,85944.74,52281.64,6198.75,27464.35,0.3196,1,5.27,68.13,0.0262,0.0303,38,0.6109,31.0,8.16,61,1894,0.9567053854276664,1881.75,0.26096033402922747,0.13320825515947465,70.7375,2024-03-01,2024
2024-03-11,P001,SKI_SKU_01,Skincare,2213,2180,2129,5,46.46,25.77,323.098,98904.64,57097.94,6210.08,35596.62,0.3599,1,9.6,92.2,0.0146,0.0024,87,0.6396,17.4,5.46,62,1894,1.1240760295670538,1867.0,0.0085267645665561,-0.02696526508226693,72.69999999999999,2024-03-01,2024
2024-03-18,P001,SKI_SKU_01,Skincare,1616,1587,1551,30,45.64,25.53,235.936,70787.81,41298.72,8950.78,20538.32,0.2901,4,6.37,59.34,0.0175,0.0195,52,0.7405,32.0,7.64,63,1894,0.8189017951425555,1761.25,-0.13785436353529734,-0.2142857142857143,68.23,2024-03-01,2024
2024-03-25,P001,SKI_SKU_01,Skincare,2515,2484,2190,30,43.91,25.15,367.19,96163.61,63335.84,11831.65,20996.11,0.2183,8,3.72,84.18,0.012,0.0138,159,0.6776,15.9,7.92,64,1894,1.1562829989440337,1920.5,0.16242038216560517,0.4101738570508693,75.9625,2024-03-01,2024
2024-04-01,P001,SKI_SKU_01,Skincare,2175,2154,1998,70,42.21,27.95,317.55,84337.71,60861.54,6284.89,17191.28,0.2038,4,4.25,74.1,0.0094,0.0355,55,0.8078,33.4,7.5,65,1894,1.0549102428722281,1967.0,-0.191747572815534,0.10264900662251653,77.45500000000001,2024-04-01,2024
2024-04-08,P001,SKI_SKU_01,Skincare,2565,2544,2299,24,44.87,25.23,374.49,103151.31,64798.26,7247.42,31105.63,0.3016,9,4.65,88.59,0.008,0.0105,140,0.4912,19.6,8.29,66,1894,1.2138331573389651,2009.5,0.718236173393124,0.07984969469234393,76.55250000000001,2024-04-01,2024
2024-04-15,P001,SKI_SKU_01,Skincare,2374,2374,2320,60,47.2,27.92,346.604,109500.11,66347.59,11404.61,31747.9,0.2899,8,2.74,76.92,0.0,0.0259,162,0.7665,42.8,8.25,67,1894,1.224920802534319,2201.75,0.4303329223181258,0.49580915538362347,80.9475,2024-04-01,2024
2024-04-22,P001,SKI_SKU_01,Skincare,2283,2232,2005,50,46.98,27.8,333.318,94203.01,63530.23,8556.5,22116.28,0.2348,4,4.67,78.9,0.0222,0.0249,40,0.7491,12.1,7.22,68,1894,1.0586061246040126,2155.5,0.18709295441089413,-0.08447488584474883,79.6275,2024-04-01,2024
2024-04-29,P001,SKI_SKU_01,Skincare,2219,2124,1838,41,47.94,26.12,323.974,88107.94,58034.01,8807.13,21266.8,0.2414,7,2.3,70.89,0.0424,0.0225,139,0.7946,24.6,7.37,69,1894,0.9704329461457233,2115.5,-0.005949161709031925,-0.08008008008008005,78.825,2024-04-01,2024
2024-05-06,P001,SKI_SKU_01,Skincare,1844,1826,1643,34,47.34,28.28,269.224,77773.04,52204.12,9663.33,15905.59,0.2045,5,5.27,65.08,0.0095,0.0213,106,0.722,23.7,7.08,70,1894,0.8674762407602957,1951.5,-0.035798122065727744,-0.28534145280556766,72.9475,2024-05-01,2024
2024-05-13,P001,SKI_SKU_01,Skincare,2060,2060,2048,11,42.69,27.67,300.76,87418.9,57062.11,9115.81,21240.98,0.243,5,7.16,77.91,0.0,0.0055,68,0.5681,32.9,6.69,71,1894,1.0813093980992607,1883.5,0.2139893301719027,-0.11724137931034484,73.195,2024-05-01,2024
2024-05-20,P001,SKI_SKU_01,Skincare,2149,2109,1921,70,43.41,28.32,313.754,83393.67,60915.73,7059.19,15418.75,0.1849,3,6.3,78.72,0.0185,0.0366,141,0.6573,22.0,7.27,72,1894,1.0142555438225977,1862.5,0.16072507552870086,-0.0418952618453865,73.15,2024-05-01,2024
2024-05-27,P001,SKI_SKU_01,Skincare,2250,2187,1917,44,46.67,27.84,328.5,89475.89,62709.12,9740.33,17026.45,0.1903,6,4.31,76.83,0.0276,0.0234,110,0.7274,32.4,7.84,73,1894,1.012143611404435,1882.25,0.05214050493962685,0.04298150163220882,74.63499999999999,2024-05-01,2024
2024-06-03,P001,SKI_SKU_01,Skincare,2268,2161,1899,37,45.43,25.88,331.128,86278.32,58751.04,9630.76,17896.51,0.2074,4,3.65,75.72,0.047,0.0199,73,0.6834,29.7,7.04,74,1894,1.0026399155227033,1946.25,0.1432871763997592,0.15581253804017048,77.295,2024-06-01,2024
2024-06-10,P001,SKI_SKU_01,Skincare,2456,2369,2309,23,43.2,28.33,358.576,99749.34,69640.5,6482.44,23626.41,0.2369,3,4.01,83.0,0.0354,0.0103,115,0.6971,48.0,7.99,75,1894,1.2191129883843717,2011.5,0.27428256070640167,0.12744140625,78.5675,2024-06-01,2024
2024-06-17,P001,SKI_SKU_01,Skincare,1934,1934,1668,31,42.13,26.31,282.364,70266.6,50943.94,4666.11,14656.54,0.2086,6,5.42,68.62,0.0,0.0191,90,0.7593,37.5,6.76,76,1894,0.880675818373812,1948.25,-0.03861671469740635,-0.13170223841749085,76.0425,2024-06-01,2024
2024-06-24,P001,SKI_SKU_01,Skincare,1976,1882,1837,53,43.84,27.74,288.496,80534.42,54870.38,4978.36,20685.69,0.2569,8,3.4,65.44,0.0472,0.029,135,0.7381,45.8,7.38,77,1894,0.9699049630411827,1928.25,-0.03213909378292945,-0.04173187271778822,73.195,2024-06-01,2024
2024-07-01,P001,SKI_SKU_01,Skincare,1921,1876,1616,23,46.8,27.21,280.466,75626.08,52318.92,6918.67,16388.5,0.2167,3,8.47,76.45,0.023,0.0147,86,0.644,39.0,6.18,78,1894,0.853220696937698,1857.5,-0.057725947521865884,-0.14902580305423907,73.3775,2024-07-01,2024
2024-07-08,P001,SKI_SKU_01,Skincare,1868,1800,1719,26,43.88,26.22,272.728,75434.52,49040.29,9486.93,16907.3,0.2241,6,5.42,66.3,0.0364,0.0152,38,0.7944,32.7,8.14,79,1894,0.9076029567053854,1710.0,-0.22287522603978305,-0.25552187093980083,69.2025,2024-07-01,2024
2024-07-15,P001,SKI_SKU_01,Skincare,1958,1919,1881,26,45.5,28.07,285.868,85588.78,55022.76,6041.56,24524.45,0.2865,2,7.16,74.05,0.0194,0.0143,107,0.7826,39.3,7.56,80,1894,0.9931362196409715,1763.25,0.18600252206809587,0.1276978417266188,70.56,2024-07-01,2024
2024-07-22,P001,SKI_SKU_01,Skincare,1973,1973,1926,53,43.97,26.98,288.058,84686.53,53292.08,5703.71,25690.74,0.3034,6,4.42,67.61,0.0,0.0277,83,0.5291,14.5,8.24,81,1894,1.016895459345301,1785.5,0.1772616136919316,0.048448557430593286,71.10249999999999,2024-07-01,2024
2024-07-29,P001,SKI_SKU_01,Skincare,1996,1941,1716,38,47.06,26.43,291.416,80747.69,52808.62,5943.2,21995.87,0.2724,1,4.91,69.56,0.0272,0.0225,97,0.6497,36.2,7.96,82,1894,0.9060190073917634,1810.5,-0.11682964487905301,0.061881188118811936,69.38,2024-07-01,2024
2024-08-05,P001,SKI_SKU_01,Skincare,2344,2284,2228,38,43.38,25.15,342.224,96655.66,59023.46,8926.62,28705.58,0.297,10,4.82,81.45,0.0254,0.0174,169,0.6882,38.8,7.13,83,1894,1.1763463569165786,1937.75,0.2976121141525918,0.29610238510762077,73.1675,2024-08-01,2024
2024-08-12,P001,SKI_SKU_01,Skincare,1490,1452,1329,65,45.99,25.43,217.54,61122.44,37939.31,3684.37,19498.76,0.319,1,6.83,55.66,0.0252,0.0494,51,0.6437,37.7,7.45,84,1894,0.7016895459345301,1799.75,0.06575781876503606,-0.2934609250398724,68.57,2024-08-01,2024
2024-08-19,P001,SKI_SKU_01,Skincare,2151,2090,2030,43,44.88,27.07,314.046,91099.17,58282.87,10595.92,22220.38,0.2439,4,4.67,74.36,0.0282,0.0215,110,0.7219,43.3,8.27,85,1894,1.0718057022175291,1825.75,0.3037893384714194,0.05399792315680174,70.2575,2024-08-01,2024
2024-08-26,P001,SKI_SKU_01,Skincare,1732,1727,1494,26,46.75,26.89,252.872,69844.91,46629.11,7602.63,15613.17,0.2235,10,8.27,68.37,0.0028,0.0175,108,0.5989,18.8,8.14,86,1894,0.7888067581837381,1770.25,0.011509817197020933,-0.12937062937062938,69.96000000000001,2024-08-01,2024
