Date,Week_Index,Product_ID,Product_Name,Category,Region,Channel,Production_Line,Campaign,Produced_Units,Good_Units,Sales_Units,Returned_Units,Price_per_Unit,Cost_per_Unit,Raw_Material_Cost,COGS,Marketing_Spend,Logistics_Cost,Other_Expenses,Revenue,Profit,Profit_Margin,Lead_Time_days,Downtime_hours,Efficiency_u_per_h,Defect_Rate,Returns_Rate,Inventory,Backorder,Acquisition_Rate,Retention_Rate,NPS,Employee_Satisfaction,On_Promo,Promo_Discount
2022-04-11,14,P001,SKI_SKU_01,Skincare,East,E-commerce,LineA,HolidayPush,1090,1050,1018,0,56.42,39.18,510.12,42757.21,1968.87,2331.89,881.16,57435.56,9496.43,0.1653,5,5.78,44.56,0.0363,0.0,2891,0,37,0.7693,13.5,7.11,False,0.0
2022-04-18,15,P001,SKI_SKU_01,Skincare,North,E-commerce,LineA,None,740,734,804,5,46.3,35.43,287.12,26246.91,1274.08,1153.94,341.15,37225.2,8209.12,0.2205,8,6.43,31.08,0.0071,0.0072,3172,34,35,0.677,57.6,6.88,True,0.15
2022-04-25,16,P001,SKI_SKU_01,Skincare,North,E-commerce,LineC,None,965,928,838,11,52.27,36.84,435.22,35594.12,931.25,3447.2,203.1,43802.26,3626.59,0.0828,6,3.93,36.68,0.0381,0.0138,4309,0,38,0.6875,-5.3,6.25,False,0.0
2022-05-02,17,P001,SKI_SKU_01,Skincare,South,Retail,LineC,None,982,982,774,8,54.96,39.6,455.65,38932.76,3148.74,1782.17,311.64,42539.04,-1636.27,-0.0385,12,5.26,39.32,0.0,0.0111,3353,0,25,0.7784,52.1,7.42,False,0.0
2022-05-09,18,P001,SKI_SKU_01,Skincare,North,E-commerce,LineA,NewLaunch,1054,1020,1006,10,55.9,38.58,614.48,40724.77,3628.14,4121.35,1169.34,56235.4,6591.8,0.1172,6,4.48,40.92,0.0318,0.0104,3290,0,86,0.7266,34.7,8.27,False,0.0
2022-05-16,19,P001,SKI_SKU_01,Skincare,South,Retail,LineB,None,858,825,728,3,54.28,36.68,644.36,31535.88,3889.96,2232.02,384.91,39515.84,1473.07,0.0373,7,8.7,39.84,0.0384,0.0047,4446,0,21,0.7776,42.7,6.08,False,0.0
2022-05-23,20,P001,SKI_SKU_01,Skincare,North,Retail,LineC,None,730,707,619,4,57.49,39.55,327.77,28904.28,1345.99,2356.22,1146.12,35586.31,1833.7,0.0515,9,13.04,42.43,0.0307,0.008,4318,0,40,0.6902,34.0,7.3,False,0.0
2022-05-30,21,P001,SKI_SKU_01,Skincare,East,Retail,LineC,None,728,728,570,12,51.87,39.35,367.64,28683.56,1430.44,1416.22,463.08,29565.9,-2427.4,-0.0821,10,3.66,27.39,0.0,0.0218,1874,0,19,0.6299,9.2,5.92,False,0.0
2022-06-06,22,P001,SKI_SKU_01,Skincare,South,E-commerce,LineA,None,876,862,753,21,56.01,38.25,423.98,33549.4,2798.15,1496.58,463.6,42175.53,3867.8,0.0917,3,4.99,34.69,0.0157,0.0292,3936,0,46,0.7217,25.1,7.53,False,0.0
2022-06-13,23,P001,SKI_SKU_01,Skincare,South,E-commerce,LineA,HolidayPush,1016,1016,1321,37,36.4,35.46,817.88,36109.15,2046.18,3424.3,1196.1,48084.4,5308.67,0.1104,7,4.89,40.07,0.0,0.0287,2796,141,57,0.6483,38.5,6.23,True,0.31
2022-06-20,24,P001,SKI_SKU_01,Skincare,East,Wholesale,LineC,None,699,659,537,6,57.06,35.68,329.23,24973.24,3946.17,764.15,578.15,30641.22,379.51,0.0124,8,5.07,27.77,0.0566,0.0116,3969,0,34,0.6411,30.7,6.98,False,0.0
2022-06-27,25,P001,SKI_SKU_01,Skincare,North,Retail,LineA,None,583,566,523,12,54.03,36.2,226.2,21127.22,1967.72,932.81,284.86,28257.69,3945.08,0.1396,6,9.31,27.85,0.0288,0.023,4079,0,18,0.6941,24.5,6.43,False,0.0
2022-07-04,26,P001,SKI_SKU_01,Skincare,East,Retail,LineC,None,945,935,840,24,55.11,37.78,520.7,35754.17,1621.79,2590.51,225.5,46292.4,6100.43,0.1318,8,8.28,43.04,0.0098,0.0291,2264,0,40,0.74,41.1,6.33,False,0.0
2022-07-11,27,P001,SKI_SKU_01,Skincare,South,Retail,LineB,None,814,798,784,11,53.31,34.69,327.23,28270.38,2413.25,1358.48,781.39,41795.04,8971.54,0.2147,6,7.42,35.68,0.0187,0.0152,3442,0,67,0.7646,15.8,6.58,False,0.0
2022-07-18,28,P001,SKI_SKU_01,Skincare,West,Retail,LineB,None,927,901,787,12,57.47,34.84,447.74,32341.45,334.18,2723.23,792.31,45228.89,9037.72,0.1998,7,6.79,39.53,0.0271,0.0161,4132,0,67,0.5671,30.0,6.22,False,0.0
2022-07-25,29,P001,SKI_SKU_01,Skincare,North,E-commerce,LineA,HolidayPush,1068,1038,991,24,52.91,37.26,674.98,39861.18,3491.82,3916.84,1069.19,52433.81,4094.78,0.0781,5,6.82,45.61,0.0277,0.0248,1786,0,36,0.652,33.1,8.26,False,0.0
2022-08-01,30,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineA,None,1029,1006,909,9,51.89,36.82,373.53,37925.13,2855.49,1000.91,552.09,47168.01,4834.39,0.1025,12,6.68,43.67,0.022,0.01,2828,0,51,0.8138,36.4,6.2,False,0.0
2022-08-08,31,P001,SKI_SKU_01,Skincare,South,E-commerce,LineB,None,782,755,826,1,41.73,35.53,424.63,27826.92,1155.41,2278.61,412.25,34468.98,2795.79,0.0811,10,9.61,37.91,0.0342,0.0024,3489,25,32,0.693,-3.7,6.51,True,0.22
2022-08-15,32,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineC,None,1094,1064,1164,25,51.43,38.46,562.32,42131.47,2058.56,3051.69,1158.25,59864.52,11464.55,0.1915,9,4.77,42.96,0.0272,0.0223,4377,49,49,0.6383,34.0,7.05,False,0.0
2022-08-22,33,P001,SKI_SKU_01,Skincare,East,E-commerce,LineA,HolidayPush,730,692,728,0,55.02,37.72,346.02,27570.2,3801.62,2524.99,528.94,40054.56,5628.81,0.1405,3,3.07,26.86,0.0517,0.0,2456,9,31,0.6784,30.1,7.52,False,0.0
2022-08-29,34,P001,SKI_SKU_01,Skincare,East,Retail,LineA,None,769,742,721,19,56.68,39.68,442.17,30558.14,700.09,3006.78,633.38,40866.28,5967.89,0.146,8,3.46,28.71,0.0341,0.027,1595,0,35,0.679,31.8,7.59,False,0.0
2022-09-05,35,P001,SKI_SKU_01,Skincare,East,Retail,LineC,None,1041,1017,964,4,52.69,38.66,739.11,40318.97,3582.95,2988.5,521.1,50793.16,3381.64,0.0666,3,6.92,44.64,0.0228,0.0045,2978,0,41,0.6771,11.7,6.45,False,0.0
2022-09-12,36,P001,SKI_SKU_01,Skincare,West,E-commerce,LineB,None,1067,1046,1048,15,51.82,35.88,643.4,38348.3,1847.23,1923.43,1031.54,54307.36,11156.86,0.2054,8,9.34,51.05,0.0193,0.0152,3233,0,63,0.7664,28.7,5.82,False,0.0
2022-09-19,37,P001,SKI_SKU_01,Skincare,West,Retail,LineC,None,1148,1096,1060,6,54.96,34.55,675.02,39730.9,3489.21,3187.49,422.39,58257.6,11427.61,0.1962,4,3.94,43.66,0.0445,0.0066,2814,0,39,0.643,35.0,6.66,False,0.0
2022-09-26,38,P001,SKI_SKU_01,Skincare,North,Retail,LineB,None,1065,1046,968,17,54.22,36.5,581.49,38930.65,1257.27,2268.02,304.24,52484.96,9724.78,0.1853,5,1.16,36.62,0.0173,0.0181,1260,0,64,0.6451,33.4,7.98,False,0.0
2022-10-03,39,P001,SKI_SKU_01,Skincare,West,Retail,LineB,None,980,961,1139,26,35.95,38.19,453.74,37471.57,2826.11,3222.12,235.88,40947.05,-2808.63,-0.0686,9,2.72,35.61,0.019,0.0229,2756,102,82,0.5683,32.9,5.95,True,0.34
2022-10-10,40,P001,SKI_SKU_01,Skincare,South,E-commerce,LineA,SummerSale,807,771,1027,26,40.62,36.61,447.89,29589.06,4730.09,1678.96,284.31,41716.74,5434.32,0.1303,5,0.44,27.08,0.0438,0.0259,3254,123,38,0.7181,42.9,5.64,True,0.26
2022-10-17,41,P001,SKI_SKU_01,Skincare,Central,Retail,LineB,None,1041,1041,1126,20,47.18,35.17,416.4,36653.61,5295.34,2244.13,1175.54,53124.68,7756.06,0.146,6,6.4,43.67,0.0,0.0182,2467,35,85,0.6388,36.5,7.54,True,0.15
2022-10-24,42,P001,SKI_SKU_01,Skincare,West,E-commerce,LineA,SummerSale,1025,1006,1118,4,55.21,37.64,577.07,38638.71,2711.65,4548.8,1027.39,61724.78,14798.23,0.2397,3,6.82,43.76,0.0184,0.0036,3673,46,89,0.6444,26.9,7.69,False,0.0
2022-10-31,43,P001,SKI_SKU_01,Skincare,East,E-commerce,LineC,None,1106,1076,1075,21,56.86,37.37,601.66,41391.39,1408.11,3759.32,742.25,61124.5,13823.43,0.2262,6,6.11,45.84,0.0271,0.0198,3353,0,65,0.7443,37.2,7.09,False,0.0
2022-11-07,44,P001,SKI_SKU_01,Skincare,North,Wholesale,LineC,None,1082,1075,1170,0,43.87,34.83,342.99,37720.36,3148.75,1633.77,955.12,51327.9,7869.9,0.1533,12,0.8,36.75,0.0063,0.0,3814,48,38,0.6277,21.0,5.17,True,0.18
2022-11-14,45,P001,SKI_SKU_01,Skincare,North,Retail,LineB,None,1147,1130,1047,10,55.25,37.93,838.46,43589.56,2683.2,4024.61,816.88,57846.75,6732.5,0.1164,4,2.4,41.21,0.0146,0.0104,3147,0,77,0.7168,15.1,8.38,False,0.0
2022-11-21,46,P001,SKI_SKU_01,Skincare,Central,Wholesale,LineB,None,823,793,633,6,51.9,36.14,563.75,29799.6,1164.34,1161.03,830.77,32852.7,-103.04,-0.0031,8,5.95,33.88,0.036,0.0102,2715,0,26,0.7697,17.8,5.94,False,0.0
2022-11-28,47,P001,SKI_SKU_01,Skincare,West,Wholesale,LineC,None,989,974,1095,17,41.48,36.02,378.79,35661.66,1525.58,2195.57,1132.62,45420.6,4905.17,0.108,13,6.69,42.0,0.0151,0.0159,3064,61,35,0.6305,32.9,8.0,True,0.28
2022-12-05,48,P001,SKI_SKU_01,Skincare,North,Retail,LineB,SummerSale,902,882,814,20,57.95,38.13,350.88,34428.35,3251.97,1865.29,781.65,47171.3,6844.04,0.1451,14,9.37,43.22,0.0212,0.0247,4632,0,43,0.8133,15.1,7.64,False,0.0
2022-12-12,49,P001,SKI_SKU_01,Skincare,South,Wholesale,LineC,None,982,955,926,5,53.35,37.18,396.73,36550.43,3522.43,997.15,459.77,49402.1,7872.32,0.1594,9,6.64,41.61,0.0268,0.0062,2585,0,64,0.7133,35.2,7.76,False,0.0
2022-12-19,50,P001,SKI_SKU_01,Skincare,South,Retail,LineC,None,1107,1073,1163,27,38.28,39.13,598.89,43376.8,5492.51,2068.99,1128.11,44519.64,-7546.77,-0.1695,6,6.46,46.56,0.0305,0.0234,3327,51,40,0.7866,45.6,8.11,True,0.27
2022-12-26,51,P001,SKI_SKU_01,Skincare,South,Retail,LineB,None,934,918,791,15,57.82,35.91,625.78,33602.52,2104.08,3190.19,916.54,45735.62,5922.29,0.1295,6,5.2,37.3,0.0164,0.0197,1702,0,40,0.8452,33.9,6.7,False,0.0
2023-01-02,52,P001,SKI_SKU_01,Skincare,West,E-commerce,LineB,None,876,858,830,15,51.28,37.8,501.95,33162.99,2705.71,1730.38,364.78,42562.4,4598.54,0.108,6,6.9,37.53,0.0204,0.0191,3180,0,28,0.7575,27.7,6.93,False,0.0
2023-01-09,53,P001,SKI_SKU_01,Skincare,North,Wholesale,LineA,None,1050,1026,1016,15,56.38,39.04,596.4,41051.64,1971.52,2692.83,1073.4,57282.08,10492.69,0.1832,10,5.97,43.26,0.0221,0.0153,2979,0,32,0.6362,37.9,7.07,False,0.0
2023-01-16,54,P001,SKI_SKU_01,Skincare,North,Wholesale,LineC,None,881,864,812,3,56.7,38.8,533.0,34236.1,2745.16,3418.3,1045.68,46040.4,4595.16,0.0998,10,5.12,35.08,0.0191,0.0037,3082,0,71,0.7012,19.0,8.17,False,0.0
2023-01-23,55,P001,SKI_SKU_01,Skincare,North,E-commerce,LineA,HolidayPush,867,832,850,14,53.13,37.09,406.62,32197.69,1024.18,1746.85,816.47,45160.5,9375.31,0.2076,14,3.77,32.75,0.0397,0.0166,1444,5,36,0.6235,27.5,7.65,False,0.0
2023-01-30,56,P001,SKI_SKU_01,Skincare,Central,Retail,LineA,SummerSale,763,754,650,8,52.11,36.15,402.1,27622.66,3534.38,1847.72,673.32,33871.5,193.42,0.0057,9,11.76,41.28,0.0105,0.0125,2432,0,55,0.7311,5.9,8.18,False,0.0
2023-02-06,57,P001,SKI_SKU_01,Skincare,South,E-commerce,LineA,None,777,773,718,8,56.64,39.39,384.62,30644.49,3575.35,2512.78,1082.47,40667.52,2852.43,0.0701,8,5.5,31.41,0.0039,0.0117,2611,0,44,0.7145,16.4,7.17,False,0.0
2023-02-13,58,P001,SKI_SKU_01,Skincare,East,Retail,LineA,None,704,697,650,13,55.95,37.44,240.06,26381.77,610.4,2292.82,671.88,36367.5,6410.63,0.1763,3,3.37,26.2,0.0097,0.0214,2267,0,56,0.7439,26.8,6.36,False,0.0
2023-02-20,59,P001,SKI_SKU_01,Skincare,East,Wholesale,LineC,None,938,921,889,21,57.28,36.43,538.41,34225.18,466.02,4020.12,832.46,50921.92,11378.14,0.2234,2,7.94,42.06,0.0174,0.0243,2922,0,52,0.7751,21.0,7.28,False,0.0
2023-02-27,60,P001,SKI_SKU_01,Skincare,East,Wholesale,LineA,None,666,665,634,9,54.62,37.82,492.84,25237.4,2220.01,2011.47,442.57,34629.08,4717.63,0.1362,9,2.16,23.72,0.0011,0.0157,3705,0,36,0.7673,59.3,6.99,False,0.0
2023-03-06,61,P001,SKI_SKU_01,Skincare,South,E-commerce,LineA,SummerSale,1008,992,1057,27,57.15,37.91,665.28,38279.81,1853.51,2598.57,208.75,60407.55,17466.91,0.2892,8,5.18,40.22,0.0152,0.0258,2927,30,36,0.7613,21.3,5.4,False,0.0
2023-03-13,62,P001,SKI_SKU_01,Skincare,South,Retail,LineB,NewLaunch,852,829,721,4,56.63,37.02,396.18,31580.66,2106.92,2556.56,271.46,40830.23,4314.63,0.1057,1,8.06,38.41,0.0262,0.0069,2150,0,27,0.656,19.6,5.79,False,0.0
2023-03-20,63,P001,SKI_SKU_01,Skincare,East,Retail,LineB,None,1228,1168,1023,14,56.35,39.43,708.56,48490.9,1364.63,2868.49,635.05,57646.05,4286.98,0.0744,7,1.25,42.36,0.0485,0.0146,2614,0,76,0.6877,26.2,7.89,False,0.0
2023-03-27,64,P001,SKI_SKU_01,Skincare,South,Retail,LineC,SummerSale,924,914,812,0,51.85,35.18,423.19,32548.64,3109.68,3062.28,821.47,42102.2,2560.13,0.0608,4,1.73,32.41,0.0108,0.001,2692,0,31,0.6971,2.0,7.12,False,0.0
2023-04-03,65,P001,SKI_SKU_01,Skincare,East,Retail,LineC,None,930,907,754,8,52.67,38.55,370.14,35888.51,3552.09,1838.32,214.09,39713.18,-1779.83,-0.0448,3,3.17,34.35,0.024,0.0111,5078,0,29,0.7181,27.9,6.79,False,0.0
2023-04-10,66,P001,SKI_SKU_01,Skincare,North,Retail,LineB,None,1025,1025,1009,4,54.26,36.03,396.68,36970.42,2528.85,1410.36,812.71,54748.34,13026.0,0.2379,4,6.3,42.81,0.0,0.0047,2127,0,60,0.7342,56.4,7.39,False,0.0
2023-04-17,67,P001,SKI_SKU_01,Skincare,East,E-commerce,LineA,None,858,840,759,5,55.74,35.88,453.88,30830.43,512.31,3154.35,720.54,42306.66,7089.03,0.1676,2,4.74,33.65,0.0199,0.0077,3657,0,27,0.6933,44.1,8.06,False,0.0
2023-04-24,68,P001,SKI_SKU_01,Skincare,Central,Retail,LineB,None,998,977,960,4,57.75,35.17,745.51,35174.21,3901.54,1729.48,1017.02,55440.0,13617.75,0.2456,6,4.54,38.83,0.021,0.0045,3040,0,57,0.7417,63.3,6.76,False,0.0
2023-05-01,69,P001,SKI_SKU_01,Skincare,North,E-commerce,LineC,None,1054,1023,1128,29,51.57,34.68,673.51,36620.07,3712.78,3390.67,630.04,58170.96,13817.4,0.2375,7,7.76,46.88,0.0285,0.026,3075,53,73,0.7489,16.5,7.42,False,0.0
2023-05-08,70,P001,SKI_SKU_01,Skincare,Central,Wholesale,LineB,HolidayPush,1043,1009,947,8,52.31,38.91,424.5,40625.58,1446.48,3599.11,1027.82,49537.57,2838.58,0.0573,4,6.44,43.83,0.0318,0.0087,2430,0,41,0.7158,9.1,7.57,False,0.0
2023-05-15,71,P001,SKI_SKU_01,Skincare,West,E-commerce,LineA,HolidayPush,903,884,819,9,55.89,36.85,524.64,33328.01,3428.03,974.52,650.87,45773.91,7392.48,0.1615,1,6.64,38.26,0.02,0.0116,3116,0,24,0.6454,34.6,5.53,False,0.0
2023-05-22,72,P001,SKI_SKU_01,Skincare,West,E-commerce,LineA,None,764,751,667,1,56.4,39.15,394.99,29950.1,2242.04,2649.4,934.58,37618.8,1842.68,0.049,9,9.36,36.59,0.0169,0.0022,3496,0,29,0.7063,24.4,7.14,False,0.0
2023-05-29,73,P001,SKI_SKU_01,Skincare,West,Retail,LineC,None,1111,1087,987,7,52.1,37.24,496.62,41423.3,3608.19,3768.56,1181.75,51422.7,1440.9,0.028,8,1.72,38.95,0.0209,0.0081,2834,0,72,0.7822,45.2,8.9,False,0.0
2023-06-05,74,P001,SKI_SKU_01,Skincare,South,Retail,LineC,HolidayPush,630,603,475,4,54.67,37.96,211.68,23935.97,213.71,1552.07,396.09,25968.25,-129.59,-0.005,7,7.21,27.36,0.0428,0.0102,2996,0,38,0.6896,15.0,8.44,False,0.0
2023-06-12,75,P001,SKI_SKU_01,Skincare,East,Wholesale,LineA,None,1100,1049,915,3,57.64,38.45,734.8,42368.48,495.18,3075.54,643.67,52740.6,6157.73,0.1168,13,8.73,51.14,0.0456,0.0037,3248,0,54,0.7128,37.5,7.2,False,0.0
2023-06-19,76,P001,SKI_SKU_01,Skincare,East,Retail,LineB,None,1026,986,846,19,53.65,34.84,417.58,35787.6,2533.56,1472.38,682.33,45387.9,4912.03,0.1082,5,7.86,45.85,0.0385,0.0234,2670,0,75,0.6892,44.1,7.14,False,0.0
2023-06-26,77,P001,SKI_SKU_01,Skincare,North,E-commerce,LineC,None,882,876,815,8,52.48,35.72,317.52,31536.79,3117.08,1098.55,1036.06,42771.2,5982.72,0.1399,5,0.97,30.14,0.0067,0.0099,3236,0,48,0.5755,47.0,6.22,False,0.0
2023-07-03,78,P001,SKI_SKU_01,Skincare,West,Retail,LineC,None,1100,1066,1022,3,46.09,36.56,623.7,40278.37,2035.82,2731.32,857.96,47103.98,1200.51,0.0255,9,8.14,49.77,0.0307,0.0031,1540,0,42,0.7155,35.3,6.24,True,0.11
2023-07-10,79,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineC,None,953,944,1020,18,51.99,36.08,481.26,34432.37,2552.76,2183.69,1024.51,53029.8,12836.47,0.2421,5,4.19,36.59,0.0092,0.0181,4200,37,51,0.7221,9.5,7.72,False,0.0
2023-07-17,80,P001,SKI_SKU_01,Skincare,North,Retail,LineA,SummerSale,807,790,673,6,51.33,38.03,399.46,30730.16,2820.06,1457.1,1112.56,34545.09,-1574.79,-0.0456,11,6.91,34.59,0.0204,0.0103,4416,0,43,0.8032,43.8,6.25,False,0.0
2023-07-24,81,P001,SKI_SKU_01,Skincare,East,Retail,LineC,None,971,959,940,28,45.46,36.65,391.31,35626.28,4300.46,2381.22,223.0,42732.4,201.44,0.0047,5,6.36,40.66,0.0119,0.0299,2092,0,50,0.7237,34.7,7.68,True,0.13
2023-07-31,82,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineA,None,811,795,867,0,55.57,37.97,343.05,30827.98,3697.33,3823.13,820.07,48179.19,9010.68,0.187,8,6.97,34.86,0.0195,0.0,3886,30,34,0.7263,30.7,8.62,False,0.0
2023-08-07,83,P001,SKI_SKU_01,Skincare,East,Wholesale,LineA,None,895,879,795,0,55.99,39.55,514.62,35448.71,1251.79,2586.03,482.85,44512.05,4742.67,0.1065,6,7.07,38.63,0.0168,0.0,3646,0,26,0.6505,11.5,7.38,False,0.0
2023-08-14,84,P001,SKI_SKU_01,Skincare,West,Retail,LineC,None,1287,1276,1255,20,54.78,36.59,808.24,47172.15,2021.66,4224.21,1138.89,68748.9,14191.99,0.2064,8,9.24,61.29,0.0081,0.0163,4235,0,95,0.6906,25.4,8.26,False,0.0
2023-08-21,85,P001,SKI_SKU_01,Skincare,South,Retail,LineC,HolidayPush,919,905,877,7,55.36,38.83,372.2,35721.99,1117.96,2029.66,213.86,48550.72,9467.25,0.195,10,5.79,37.58,0.0146,0.008,3767,0,43,0.6808,32.4,7.13,False,0.0
2023-08-28,86,P001,SKI_SKU_01,Skincare,South,Retail,LineA,None,1193,1155,964,10,53.22,35.29,547.59,42155.73,1991.08,2891.04,597.17,51304.08,3669.06,0.0715,6,6.32,49.88,0.0318,0.0113,3853,0,45,0.7151,37.7,6.47,False,0.0
2023-09-04,87,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineC,SummerSale,1081,1055,1089,20,56.35,35.54,523.2,38471.06,3947.38,4383.14,843.83,61365.15,13719.74,0.2236,4,6.53,45.59,0.0232,0.019,3330,15,36,0.7398,51.3,5.41,False,0.0
2023-09-11,88,P001,SKI_SKU_01,Skincare,East,E-commerce,LineC,HolidayPush,957,956,892,14,56.22,34.77,593.34,33334.22,825.22,2012.71,232.54,50148.24,13743.55,0.2741,5,5.68,38.97,0.0001,0.0162,3938,0,32,0.797,11.2,7.4,False,0.0
2023-09-18,89,P001,SKI_SKU_01,Skincare,North,E-commerce,LineB,None,1060,1025,1110,0,45.62,35.08,394.32,37224.23,953.5,1587.34,634.0,50638.2,10239.13,0.2022,13,6.61,44.85,0.0325,0.0,1412,29,72,0.63,-0.7,7.44,True,0.17
2023-09-25,90,P001,SKI_SKU_01,Skincare,West,E-commerce,LineB,None,988,969,992,3,58.2,36.51,624.42,36134.32,2339.79,2861.53,969.56,57734.4,15429.2,0.2672,2,1.7,34.62,0.0183,0.0037,2853,11,31,0.7788,44.4,6.88,False,0.0
2023-10-02,91,P001,SKI_SKU_01,Skincare,East,E-commerce,LineB,SummerSale,779,779,794,16,53.99,35.47,323.28,27663.46,3218.53,1582.77,619.6,42868.06,9783.7,0.2282,14,6.56,32.9,0.0,0.0207,3616,6,59,0.6577,7.5,7.15,False,0.0
2023-10-09,92,P001,SKI_SKU_01,Skincare,South,E-commerce,LineC,None,940,940,972,12,53.08,39.07,503.84,36776.18,1308.79,2632.15,949.9,51593.76,9926.74,0.1924,9,8.09,42.43,0.0,0.013,2320,13,54,0.7494,22.9,8.4,False,0.0
2023-10-16,93,P001,SKI_SKU_01,Skincare,East,E-commerce,LineA,None,1115,1106,1047,13,53.73,35.58,625.52,39734.25,1350.14,2872.2,1021.6,56255.31,11277.12,0.2005,3,5.64,45.33,0.0073,0.0131,3903,0,49,0.7534,35.9,8.82,False,0.0
2023-10-23,94,P001,SKI_SKU_01,Skincare,Central,E-commerce,LineB,None,846,826,792,18,55.52,38.58,340.09,32672.69,3874.71,3314.44,373.49,43971.84,3736.51,0.085,6,5.19,33.77,0.0233,0.0228,2761,0,49,0.7728,2.7,7.43,False,0.0
